Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0603_1608Metric,107.1,-118.2,180,top
C2,33p,C_0402_1005Metric,109.7,-121.2,90,top
C3,47u,C_0805_2012Metric,107.1,-123,0,top
C4,470n,C_0402_1005Metric,98.7,-98.2,-90,top
C5,47u,C_0805_2012Metric,99.3,-112,180,top
C6,470n,C_0402_1005Metric,115.1,-88.8,0,top
C7,4u7,C_0603_1608Metric,109.3,-107.2,-90,top
C8,4u7,C_0603_1608Metric,109.3,-103,90,top
C9,4u7,C_0603_1608Metric,120.5,-99.2,180,top
C10,33p,C_0402_1005Metric,109.7,-95.2,0,top
C11,470n,C_0402_1005Metric,110.7,-106.8,-90,top
C12,470n,C_0402_1005Metric,110.7,-103,90,top
C13,4u7,C_0603_1608Metric,123.9,-101.2,-90,top
C14,33p,C_0402_1005Metric,106.5,-98.2,-90,top
C15,470n,C_0402_1005Metric,110.7,-109.8,-90,top
C16,470n,C_0402_1005Metric,123.9,-108.2,-90,top
C17,470n,C_0402_1005Metric,116.1,-112,0,top
C18,470n,C_0402_1005Metric,113.5,-98.8,90,top
C19,470n,C_0402_1005Metric,121.1,-112,0,top
C20,470n,C_0402_1005Metric,123.9,-103.8,90,top
C21,470n,C_0402_1005Metric,117.5,-98.8,90,top
C22,470n,C_0402_1005Metric,118.1,-87.2,-90,top
C23,470n,C_0402_1005Metric,106.5,-87.2,-90,top
D1,INIT,LED_0805_2012Metric,97.1,-122,90,top
D2,PWR,LED_0805_2012Metric,97.1,-117,90,top
D3,RX,LED_0805_2012Metric,97.1,-88,-90,top
D4,TX,LED_0805_2012Metric,97.1,-93,-90,top
J1,DF40HC(4.0)-90DS-0.4V,DF40HC(4.0)-90DS-0.4V,148.5,-121,90,top
J2,DF40HC(4.0)-90DS-0.4V,DF40HC(4.0)-90DS-0.4V,164.5,-105,180,top
J3,DF40HC(4.0)-90DS-0.4V,DF40HC(4.0)-90DS-0.4V,148.5,-89,-90,top
J4,DF40HC(4.0)-90DS-0.4V,DF40HC(4.0)-90DS-0.4V,132.5,-105,0,top
J5,USB_C_Receptacle_USB2.0_16P,TYPE-C16PIN,92.5,-105,-90,top
J7,PMOD_A,PMOD_PinSocket_2x06_P2.54mm_Horizontal,192.5,-93.57,0,top
J8,PMOD_B,PMOD_PinSocket_2x06_P2.54mm_Horizontal,192.5,-116.43,0,top
L1,1u,L_Changjiang_FNR252010S,104.1,-120.2,-90,top
L2,600,L_0603_1608Metric,107.7,-107.2,90,top
L3,600,L_0603_1608Metric,107.7,-103,-90,top
R1,0,R_0402_1005Metric,144.7,-117,0,top
R5,1k,R_0402_1005Metric,144.7,-115.8,180,top
R6,1k,R_0402_1005Metric,144.7,-111,0,top
R7,1k,R_0402_1005Metric,144.7,-113.4,0,top
R9,330,R_0402_1005Metric,149.3,-115.2,90,top
R10,4k7,R_0402_1005Metric,148.1,-115.2,90,top
R11,4k7,R_0402_1005Metric,150.5,-115.2,90,top
R12,1k,R_0402_1005Metric,97.1,-124.4,180,top
R15,10k,R_0402_1005Metric,113.5,-121.2,90,top
R16,10k,R_0402_1005Metric,113.5,-119.2,90,top
R17,1k,R_0402_1005Metric,142.9,-93,-90,top
R19,100k,R_0402_1005Metric,107.7,-116.2,-90,top
R20,200k,R_0402_1005Metric,106.5,-116.2,90,top
R21,100k,R_0402_1005Metric,110.9,-119.2,90,top
R22,22k,R_0402_1005Metric,110.9,-121.2,90,top
R23,1k,R_0402_1005Metric,97.1,-119.4,180,top
R24,1M,R_0402_1005Metric,99.9,-98.2,90,top
R25,5k1,R_0402_1005Metric,103.9,-102.6,180,top
R26,5k1,R_0402_1005Metric,103.9,-107.4,180,top
R30,10k,R_0402_1005Metric,111.9,-91.6,180,top
R31,10k,R_0402_1005Metric,111.9,-92.8,180,top
R32,10k,R_0402_1005Metric,111.9,-94,180,top
R33,2k2,R_0402_1005Metric,115.9,-99.2,0,top
R34,12k,R_0402_1005Metric,106.5,-112,-90,top
R35,1k,R_0402_1005Metric,109.3,-112,-90,top
R36,1k,R_0402_1005Metric,97.1,-85.6,180,top
R37,1k,R_0402_1005Metric,97.1,-90.6,180,top
R38,0,R_0402_1005Metric,117.5,-114.2,180,top
R41,4k7,R_0402_1005Metric,120.5,-96,180,top
R42,4k7,R_0402_1005Metric,173.5,-102.2,180,top
R43,4k7,R_0402_1005Metric,173.5,-107.8,180,top
SW1,PROG,TS-1088-AR02016,123.9,-121,90,top
SW2,RESET,TS-1088-AR02016,174.9,-105,0,top
U1,AP61302,SOT-563,107.1,-120.2,180,top
U2,SRV05-4,SOT-23-6,103.9,-105,0,top
U3,M93C56-WDW6TP,TSSOP-8_4.4x3mm_P0.65mm,115.1,-93.2,90,top
U4,FT2232HQ,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,117.5,-105.6,0,top
U5,IS25LP064A,SOIC-8_5.3x5.3mm_P1.27mm,121.9,-90.6,90,top
U6,OT3225100MJBA4SL,Crystal_SMD_3225-4Pin_3.2x2.5mm,109.3,-87.8,0,top
U7,SRV05-4,SOT-23-6,173.5,-90.57,0,top
U8,SRV05-4,SOT-23-6,173.5,-113.43,0,top
U9,SRV05-4,SOT-23-6,173.5,-96.57,0,top
U10,SRV05-4,SOT-23-6,173.5,-119.43,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,109.3,-97.6,0,top
